track_artist,released_year,danceability,energy,valence,tempo,number_of_songs
A Banca Records,2019,87.0,36.2,37.3,124.1,2
A Billion Robots,2019,60.4,96.6,11.8,128.0,1
A Boogie Wit da Hoodie,2017,80.1,78.6,75.6,149.4,2
A Boogie Wit da Hoodie,2018,63.5,63.5,45.4,108.7,5
A Boogie Wit da Hoodie,2019,78.3,61.1,64.9,117.4,3
A Day To Remember,2019,51.2,95.2,17.0,123.0,1
A Flock Of Seagulls,1905,44.7,74.4,55.2,140.0,1
A Flock Of Seagulls,1982,43.7,62.6,46.4,154.4,2
A Flock Of Seagulls,2006,55.9,71.9,60.2,147.0,1
A Flock Of Seagulls,2008,61.5,89.2,86.4,147.7,2
A Great Big World,2014,40.7,14.7,7.6,141.3,1
A Kay,2019,70.4,74.9,67.6,160.2,1
A L E X,2018,77.9,28.8,16.4,135.0,1
A Nite Out,2003,87.0,76.0,92.6,100.0,1
A Perfect Circle,2000,36.5,89.4,31.0,82.3,1
A Perfect Circle,2003,32.8,84.2,42.2,113.3,1
A Perfect Circle,2018,40.6,73.8,31.0,150.9,1
A R I Z O N A,2016,74.6,54.3,63.4,109.0,2
A R I Z O N A,2017,71.0,70.6,43.2,116.0,2
A R I Z O N A,2019,68.6,50.2,26.3,96.3,3
A R I Z O N A,2020,76.7,73.8,33.9,120.0,1
A Split Second,2003,63.8,99.6,87.0,130.0,1
A Touch Of Class,2000,60.8,97.9,65.3,132.0,1
A Tribe Called Quest,1990,84.8,66.6,74.4,96.7,1
A Tribe Called Quest,1993,83.4,45.6,51.1,96.7,2
A l l i e,2017,69.4,51.5,44.0,80.0,1
AAAMYYY,2019,73.8,55.0,59.9,110.0,1
AATA,2019,79.2,67.3,78.4,105.0,1
ABBA,1905,53.9,88.4,75.2,100.8,1
ABC,1905,73.9,89.8,91.5,121.0,1
ABG Neal,2019,83.0,79.1,96.4,105.3,1
ADAMII,2019,71.9,73.3,51.0,102.0,1
AFI,1905,43.4,92.4,49.7,101.9,1
AFI,2006,30.8,87.3,68.6,143.5,1
AGNEZ MO,2018,40.5,61.6,54.3,141.0,1
AIELLO,2019,67.1,50.3,55.1,78.4,2
AINT,2019,70.9,82.2,35.5,122.0,1
AJ Mitchell,2019,68.0,64.7,42.8,126.0,6
AJ Salvatore,2019,61.0,97.4,47.9,150.0,1
AJ Tracey,2019,87.5,67.6,48.2,130.2,4
AJ x Deno,2018,74.3,65.1,51.1,137.2,1
AJR,2019,28.4,60.9,52.1,85.4,1
AK Ausserkontrolle,2016,66.5,71.5,42.0,117.9,7
AK Ausserkontrolle,2017,66.8,78.6,41.2,119.1,6
AKA,2014,49.4,93.5,35.0,130.1,1
AKA AKA,2019,79.0,60.7,8.4,124.0,1
