track_artist,released_year,averagePopularity,averagePopularity
A Banca Records,2019,56.0,56.0
A Billion Robots,2019,34.0,34.0
A Boogie Wit da Hoodie,2017,58.5,58.5
A Boogie Wit da Hoodie,2018,66.8,66.8
A Boogie Wit da Hoodie,2019,71.33333333333333,71.3
A Day To Remember,2019,70.0,70.0
A Flock Of Seagulls,1905,50.0,50.0
A Flock Of Seagulls,1982,40.0,40.0
A Flock Of Seagulls,2006,13.0,13.0
A Flock Of Seagulls,2008,36.0,36.0
A Great Big World,2014,78.0,78.0
A Kay,2019,51.0,51.0
A L E X,2018,61.0,61.0
A Nite Out,2003,30.0,30.0
A Perfect Circle,2000,65.0,65.0
A Perfect Circle,2003,63.0,63.0
A Perfect Circle,2018,0.0,0.0
A R I Z O N A,2016,45.5,45.5
A R I Z O N A,2017,51.0,51.0
A R I Z O N A,2019,64.66666666666667,64.7
A R I Z O N A,2020,40.0,40.0
A Split Second,2003,0.0,0.0
A Touch Of Class,2000,5.0,5.0
A Tribe Called Quest,1990,69.0,69.0
A Tribe Called Quest,1993,26.0,26.0
A l l i e,2017,23.0,23.0
AAAMYYY,2019,44.0,44.0
AATA,2019,27.0,27.0
ABBA,1905,72.0,72.0
ABC,1905,60.0,60.0
ABG Neal,2019,46.0,46.0
ADAMII,2019,41.0,41.0
AFI,1905,39.0,39.0
AFI,2006,70.0,70.0
AGNEZ MO,2018,51.0,51.0
AIELLO,2019,57.5,57.5
AINT,2019,47.0,47.0
AJ Mitchell,2019,60.333333333333336,60.3
AJ Salvatore,2019,42.0,42.0
AJ Tracey,2019,66.25,66.2
AJ x Deno,2018,67.0,67.0
AJR,2019,56.0,56.0
AK Ausserkontrolle,2016,46.714285714285715,46.7
AK Ausserkontrolle,2017,46.333333333333336,46.3
AKA,2014,31.0,31.0
AKA AKA,2019,36.0,36.0
AKI,2012,55.0,55.0
ALAWIE,2020,43.0,43.0
ALESSIA RAISI,2019,35.0,35.0
ALMA,2019,60.0,60.0
AMAANDA,2019,32.0,32.0
AMARI,2020,40.0,40.0
AMAZING MAZE,2019,6.0,6.0
AMiR,2018,0.0,0.0
ANG,2019,35.666666666666664,35.7
ANIMAL HACK,2019,37.0,37.0
ANNA,2016,34.0,34.0
ANNA,2018,25.0,25.0
APEK,2017,22.0,22.0
APEK,2018,30.0,30.0
ARASHI,2019,63.5,63.5
ARIA,2019,51.0,51.0
ARMAN,2019,41.0,41.0
ARMNHMR,2016,48.0,48.0
ARMNHMR,2019,48.0,48.0
ARMNHMR,2020,38.0,38.0
ARTY,2013,24.0,24.0
ARTY,2019,40.2,40.2
ARTY,2020,59.0,59.0
ARVVB,2016,0.0,0.0
AS IT IS,2015,8.0,8.0
ASADI,2018,41.0,41.0
ASADI,2019,35.0,35.0
ASOBOiSM,2018,29.0,29.0
ASOBOiSM,2020,23.0,23.0
ASP,2007,0.0,0.0
ASP,2014,0.0,0.0
ASTR,2014,47.0,47.0
ATEEZ,2019,72.0,72.0
ATEEZ,2020,72.0,72.0
ATRIP,2019,34.0,34.0
ATTLAS,2016,43.0,43.0
ATYPISK,2019,62.666666666666664,62.7
AVA,2019,74.0,74.0
AVEC,2015,10.0,10.0
AViVA,2017,68.0,68.0
AW,2019,42.0,42.0
AWA,2019,45.5,45.5
AWASAKI,2018,22.0,22.0
AWAY,2019,46.0,46.0
AWOLNATION,2017,12.0,12.0
AWOLNATION,2019,65.0,65.0
AZ,2006,0.0,0.0
AZIA,2019,35.0,35.0
AZTX,2019,30.0,30.0
AaRON,2008,48.0,48.0
Aaliyah,1905,13.25,13.2
Aaliyah,1994,36.142857142857146,36.1
Aaliyah,1999,59.0,59.0
Aaliyah,2007,3.0,3.0
Aaliyah,2014,41.0,41.0
Aanysa,2016,47.0,47.0
Aanysa,2017,19.0,19.0
Aaron Cartier,2016,35.0,35.0
Aaron Hall,1991,31.0,31.0
Aaron Hall,1992,24.0,24.0
Aaron Hall,1993,41.0,41.0
Aaron Hall,1998,34.0,34.0
Aaron Neville,2000,52.0,52.0
Aaron Smith,2013,51.0,51.0
Aaron Smith,2014,84.0,84.0
Aaron Taylor,2018,49.5,49.5
Aaryan Shah,2020,44.0,44.0
Aaryn Doyle,2008,31.0,31.0
Abby K,2019,27.0,27.0
Abdi,2016,21.0,21.0
Abdi,2017,41.0,41.0
Abdi,2018,15.0,15.0
Abel Ganz,2008,4.0,4.0
Abel Pintos,2019,57.0,57.0
Abel Ramos,2010,0.0,0.0
Able Faces,2020,7.0,7.0
Above The Law,1990,31.0,31.0
Above The Law,2013,45.0,45.0
Abraham Mateo,2017,64.0,64.0
Abraham Mateo,2019,78.0,78.0
Abram Mahoney,2019,32.5,32.5
Abstract Orchestra,2018,45.0,45.0
Abstract Rude,2017,1.0,1.0
Aby,2015,11.0,11.0
Academics,2009,31.0,31.0
Accept,2019,48.0,48.0
Ace,1974,56.0,56.0
Ace Hood,2019,66.0,66.0
Ace of Base,1905,68.0,68.0
Ace of Base,1994,16.0,16.0
Ace of Base,1999,4.0,4.0
Achille Lauro,2019,67.0,67.0
AchtVier,2013,0.0,0.0
AchtVier,2015,27.0,27.0
AchtVier,2017,23.5,23.5
Achtabahn,2016,46.0,46.0
Acidic Base,2019,39.0,39.0
Action Bronson,2013,45.0,45.0
Aczino,1905,0.0,0.0
Adam Ant,1905,51.0,51.0
Adam Beyer,2019,50.0,50.0
Adam Calhoun,2018,11.0,11.0
Adam De Great,2019,27.0,27.0
Adam Hicks,2011,60.0,60.0
Adam Jensen,2017,55.0,55.0
Adam Jensen,2019,47.0,47.0
Adam K,2019,44.0,44.0
Adam Lambert,2015,65.0,65.0
Adam Marano,1905,33.0,33.0
Adam Neely,2019,38.0,38.0
Adamovich,2020,43.0,43.0
Adaptiv,2019,42.0,42.0
Adara,2016,14.0,14.0
Addal,2019,57.0,57.0
Adeena,2019,43.0,43.0
Adele,2008,28.75,28.8
Adele,2011,70.4,70.4
Adele,2015,73.0,73.0
Adele,2016,71.0,71.0
Adelitas Way,2009,60.0,60.0
Adelitas Way,2019,46.0,46.0
Adesha,2018,15.0,15.0
Adia Victoria,2019,24.0,24.0
Adil C,2019,39.0,39.0
Adina Howard,1905,56.0,56.0
Adon,2019,52.0,52.0
Adrenalina Latina,2019,17.0,17.0
Adrian Emile,2013,13.0,13.0
Adrian Hour,2014,4.0,4.0
Adrian Hour,2019,7.0,7.0
Adrian Lux,2013,30.0,30.0
Adriana Evans,2017,38.0,38.0
Adrianne Archie,2006,7.5,7.5
Adrianne Archie,2009,3.0,3.0
Adriatique,2018,46.0,46.0
Adrienne Pauly,2006,26.0,26.0
Adrinaline,2018,0.0,0.0
Adro,2019,35.0,35.0
Advaita,2015,16.5,16.5
Adventure Club,2013,1.0,1.0
Adventure Club,2014,0.0,0.0
Adventure Club,2016,0.0,0.0
Ady Suleiman,2018,40.0,40.0
Ady Suleiman,2019,47.0,47.0
Aer,2012,58.0,58.0
Aeris Roves,2018,49.0,49.0
Aeris Roves,2019,47.0,47.0
Aero Chord,2015,0.0,0.0
Aero Chord,2017,0.0,0.0
Aerophon,2012,0.0,0.0
Aerosmith,1905,25.0,25.0
Aerosmith,1973,61.5,61.5
Aerosmith,1974,50.0,50.0
Aerosmith,1975,65.66666666666667,65.7
Aerosmith,1976,60.0,60.0
Aerosmith,1980,41.666666666666664,41.7
Aerosmith,1987,70.0,70.0
Aerosmith,1998,74.5,74.5
Aerosmith,2011,23.333333333333332,23.3
Aerreo,2018,44.0,44.0
Aesthetic Perfection,2008,40.5,40.5
Aexcit,2019,45.0,45.0
Afluen,2018,47.0,47.0
Afro B,2019,66.0,66.0
Afro Bros,2018,41.0,41.0
Afro Bros,2019,31.0,31.0
Afrodisiaco,2015,0.0,0.0
Afrodisiaco,2019,25.0,25.0
Afrojack,1905,39.0,39.0
Afrojack,2011,13.0,13.0
Afrojack,2012,42.5,42.5
Afrojack,2013,0.0,0.0
Afrojack,2014,17.0,17.0
Afrojack,2017,3.0,3.0
Afrojack,2019,54.0,54.0
Afterlight,2019,18.0,18.0
Agar Agar,2016,56.5,56.5
Agar Agar,2017,56.0,56.0
Agar Agar,2018,45.0,45.0
